Castlevania.nsf track=0 framerate=60
Square1(16)
time dur note vol
0.000 0.167 D4 5
0.200 0.167 D#4 5
0.400 0.167 G4 5
0.600 0.167 F#4 5
0.800 0.167 G4 5
1.000 0.167 F#4 5
1.200 0.167 F4 5
1.400 0.167 F#4 5
1.600 0.567 C#5 5
2.200 0.567 A#4 5
2.800 0.767 G4 5
4.200 0.167 G4 5
4.400 0.167 A#4 5
4.600 0.167 C#5 5
4.800 0.600 E5 15
5.400 1.000 D#5 3
Square2(15)
time dur note vol
0.000 0.167 D3 4
0.200 0.167 D#3 4
0.400 0.167 G3 4
0.600 0.167 F#3 4
0.800 0.167 G3 4
1.000 0.167 F#3 4
1.200 0.167 F3 4
1.400 0.167 F#3 4
1.600 0.550 G4 4
2.200 0.550 G4 4
2.800 0.750 C#4 4
4.200 0.150 C#4 4
4.400 0.150 G4 4
4.600 0.150 G4 4
4.800 1.600 G4 6
Triangle(26)
time dur note vol
0.000 0.133 D3 15
0.200 0.133 D#3 15
0.400 0.133 G3 15
0.600 0.133 F#3 15
0.800 0.133 G3 15
1.000 0.133 F#3 15
1.200 0.133 F3 15
1.400 0.133 F#3 15
1.600 0.133 G3 15
1.800 0.133 A#3 15
2.000 0.133 C#4 15
2.200 0.133 D4 15
2.400 0.133 G4 15
2.600 0.133 A#4 15
2.800 0.133 C#5 15
3.000 0.133 D5 15
3.200 0.133 G3 15
3.400 0.200 A#3 15
3.600 0.133 C#4 15
3.800 0.133 D4 15
4.000 0.133 G4 15
4.200 0.200 A#4 15
4.400 0.167 C#5 15
4.600 0.167 D5 15
4.800 0.600 A#4 15
5.400 1.000 A4 15
Noise(60)
time dur noise vol drum
0.000 0.017 11 8 kick_tight
0.017 0.033 13 3 kick_deep
0.200 0.017 11 8 kick_tight
0.217 0.033 13 3 kick_deep
0.400 0.017 11 8 kick_tight
0.417 0.033 13 3 kick_deep
0.600 0.017 11 8 kick_tight
0.617 0.033 13 3 kick_deep
0.800 0.017 11 8 kick_tight
0.817 0.033 13 3 kick_deep
0.900 0.017 11 8 kick_tight
0.917 0.033 13 3 kick_deep
1.000 0.017 11 8 kick_tight
1.017 0.033 13 3 kick_deep
1.100 0.017 11 8 kick_tight
1.117 0.033 13 3 kick_deep
1.200 0.100 8 6 tom_high
1.300 0.050 13 1 kick_deep
1.400 0.100 8 6 tom_high
1.500 0.050 13 1 kick_deep
1.600 0.017 11 8 kick_tight
1.617 0.033 13 3 kick_deep
1.800 0.017 11 8 kick_tight
1.817 0.033 13 3 kick_deep
2.000 0.100 8 6 tom_high
2.100 0.050 13 1 kick_deep
2.200 0.017 11 8 kick_tight
2.217 0.033 13 3 kick_deep
2.400 0.017 11 8 kick_tight
2.417 0.033 13 3 kick_deep
2.600 0.017 11 8 kick_tight
2.617 0.033 13 3 kick_deep
2.800 0.100 8 6 tom_high
2.900 0.050 13 1 kick_deep
3.000 0.017 11 8 kick_tight
3.017 0.033 13 3 kick_deep
3.200 0.017 11 8 kick_tight
3.217 0.033 13 3 kick_deep
3.400 0.017 11 8 kick_tight
3.417 0.033 13 3 kick_deep
3.467 0.017 11 8 kick_tight
3.483 0.033 13 3 kick_deep
3.533 0.017 11 8 kick_tight
3.550 0.033 13 3 kick_deep
3.600 0.100 8 6 tom_high
3.700 0.050 13 1 kick_deep
3.800 0.017 11 8 kick_tight
3.817 0.033 13 3 kick_deep
4.000 0.017 11 8 kick_tight
4.017 0.033 13 3 kick_deep
4.200 0.017 11 8 kick_tight
4.217 0.033 13 3 kick_deep
4.267 0.017 11 8 kick_tight
4.283 0.033 13 3 kick_deep
4.333 0.017 11 8 kick_tight
4.350 0.033 13 3 kick_deep
4.400 0.100 8 6 tom_high
4.500 0.050 13 1 kick_deep
4.600 0.017 11 8 kick_tight
4.617 0.033 13 3 kick_deep
DPCM(0)
time dur note vol
