Castlevania.nsf track=1 framerate=60
Square1(412)
time dur note vol
0.000 0.067 A4 4
0.117 0.067 A4 4
0.350 0.067 G4 4
0.583 0.700 G4 3
1.283 0.217 D4 4
1.517 0.100 D4 4
1.633 0.100 C4 4
1.750 0.100 C4 4
1.867 0.333 D4 4
2.217 0.333 A#3 4
2.567 0.217 D4 4
2.800 0.100 C4 4
2.917 0.800 G4 4
3.733 0.067 A4 4
3.850 0.067 A4 4
4.083 0.067 G4 4
4.317 0.700 G4 3
5.017 0.217 D4 4
5.250 0.100 D4 4
5.367 0.100 C4 4
5.483 0.100 C4 4
5.600 0.333 D4 4
5.950 0.333 A#3 4
6.300 0.217 D4 4
6.533 0.100 C4 4
6.650 0.800 G4 4
7.700 0.050 A4 3
8.050 0.050 D5 3
8.400 0.050 C#5 3
8.517 0.050 D5 3
8.633 0.050 C#5 3
8.750 0.050 C5 3
9.333 0.050 A5 3
9.567 0.050 A5 3
9.683 0.050 G#5 3
9.917 0.050 G#5 3
10.033 0.050 G5 3
10.267 0.050 A5 3
10.500 0.050 A5 3
10.617 0.050 G#5 3
10.850 0.050 G#5 3
10.967 0.050 G5 3
11.433 0.050 A4 3
11.783 0.050 D5 3
12.133 0.050 C#5 3
12.250 0.050 D5 3
12.367 0.050 C#5 3
12.483 0.050 C5 3
13.067 0.050 A5 3
13.300 0.050 A5 3
13.417 0.050 G#5 3
13.650 0.050 G#5 3
13.767 0.050 G5 3
14.000 0.050 A5 3
14.233 0.050 A5 3
14.350 0.050 G#5 3
14.583 0.050 G#5 3
14.700 0.050 G5 3
14.933 0.333 A#4 5
15.283 0.333 C#5 5
15.633 0.217 E5 5
15.867 0.333 D5 5
16.217 0.333 A4 5
16.567 0.217 F4 5
16.800 0.333 A#4 5
17.150 0.333 C#5 5
17.500 0.217 E5 5
17.733 0.333 D5 5
18.083 0.100 A4 5
18.667 0.333 A#4 5
19.017 0.333 C#5 5
19.367 0.217 E5 5
19.600 0.333 D5 5
19.950 0.333 A4 5
20.300 0.217 F4 5
20.533 0.333 A#4 5
20.883 0.333 C#5 5
21.233 0.217 E5 5
21.467 0.333 C#5 5
21.817 0.333 E5 5
22.167 0.217 G5 5
22.400 0.083 A5 5
22.517 0.083 A5 5
22.633 0.083 A4 5
22.750 1.400 A4 5
24.267 0.117 F3 5
24.500 0.117 F3 5
24.733 0.083 A#3 5
24.850 0.233 D4 5
25.200 0.117 G3 5
25.433 0.117 G3 5
25.667 0.083 C4 5
25.783 0.233 E4 5
26.133 0.083 A5 5
26.250 0.083 A5 5
26.367 0.083 A4 5
26.483 1.400 A4 5
28.000 0.117 F3 5
28.233 0.117 F3 5
28.467 0.083 A#3 5
28.583 0.233 D4 5
28.933 0.117 G3 5
29.867 0.067 A4 4
29.983 0.067 A4 4
30.217 0.067 G4 4
30.450 0.700 G4 3
31.150 0.217 D4 4
31.383 0.100 D4 4
31.500 0.100 C4 4
31.617 0.100 C4 4
31.733 0.333 D4 4
32.083 0.333 A#3 4
32.433 0.217 D4 4
32.667 0.100 C4 4
32.783 0.800 G4 4
33.600 0.067 A4 4
33.717 0.067 A4 4
33.950 0.067 G4 4
34.183 0.700 G4 3
34.883 0.217 D4 4
35.117 0.100 D4 4
35.233 0.100 C4 4
35.350 0.100 C4 4
35.467 0.333 D4 4
35.817 0.333 A#3 4
36.167 0.217 D4 4
36.400 0.100 C4 4
36.517 0.800 G4 4
37.567 0.050 A4 3
37.917 0.050 D5 3
38.267 0.050 C#5 3
38.383 0.050 D5 3
38.500 0.050 C#5 3
38.617 0.050 C5 3
39.200 0.050 A5 3
39.433 0.050 A5 3
39.550 0.050 G#5 3
39.783 0.050 G#5 3
39.900 0.050 G5 3
40.133 0.050 A5 3
40.367 0.050 A5 3
40.483 0.050 G#5 3
40.717 0.050 G#5 3
40.833 0.050 G5 3
41.300 0.050 A4 3
41.650 0.050 D5 3
42.000 0.050 C#5 3
42.117 0.050 D5 3
42.233 0.050 C#5 3
42.350 0.050 C5 3
