ducktales2.nsf track=0 framerate=60

Square1(325)
time dur note vol
2.400 0.100 E4 15
2.700 0.100 G#4 15
3.000 0.100 B4 15
3.300 0.100 C#5 15
3.600 0.400 D5 15
4.100 0.300 C#5 15
4.400 0.100 B4 15
4.500 0.200 A4 15
4.800 0.200 A4 15
5.300 0.400 G#4 15
6.000 0.200 A4 15
6.500 0.400 G#4 15
7.200 0.100 E4 15
7.500 0.100 G#4 15
7.800 0.100 B4 15
8.100 0.100 C#5 15
8.400 0.400 D5 15
8.900 0.300 C#5 15
9.200 0.100 B4 15
9.300 0.200 A4 15
9.600 0.200 D5 15
10.100 0.400 C#5 15
10.800 0.200 D5 15
11.300 0.400 C#5 15
12.300 0.100 F#4 15
12.600 0.100 A4 15
12.900 0.100 C#5 15
13.200 0.200 C#5 15
13.700 0.400 B4 15
14.700 0.100 C#5 15
15.000 0.100 E5 15
15.300 0.100 F#5 15
15.600 0.200 G#5 15
16.100 0.400 F#5 15
16.800 0.100 E5 15
17.100 0.100 E5 15
17.600 0.100 E5 15
17.700 0.300 B5 15
18.000 0.100 G#5 15
19.200 0.100 E5 15
19.500 0.100 D5 15
19.800 0.100 C5 15
20.100 0.100 D5 15
20.400 0.100 E5 15
20.700 0.100 D5 15
21.000 0.100 C5 15
21.300 0.100 D5 15
21.600 0.100 E5 15
21.900 0.100 E5 15
22.400 0.100 E5 15
22.500 0.300 B5 15
22.800 0.100 G#5 15
24.000 0.100 E5 15
24.300 0.100 D5 15
24.600 0.100 C5 15
24.900 0.100 D5 15
25.200 0.100 E5 15
25.500 0.100 D5 15
25.800 0.100 C5 15
26.100 0.100 D5 15
26.400 0.100 E5 15
26.700 0.100 E5 15
27.600 0.200 E6 15
27.900 0.200 F#6 15
28.200 0.200 G#6 15
28.500 0.200 B6 15
29.000 0.400 E5 15
29.400 0.300 G#5 15
29.700 0.300 E5 15
31.400 0.400 E5 15
31.800 0.300 G#5 15
32.100 0.300 E5 15
33.800 0.700 F#5 15
34.500 0.300 G#5 15
34.800 0.200 A#5 15
35.100 0.200 G#5 15
35.400 0.200 F#5 15
35.700 0.200 G#5 15
36.000 0.100 F#5 15
36.300 0.100 F#5 15
36.800 0.100 F#5 15
36.900 0.300 C#6 15
37.200 0.100 A#5 15
38.400 0.100 F#5 15
38.700 0.100 E5 15
39.000 0.100 D5 15
39.300 0.100 E5 15
39.600 0.100 F#5 15
39.900 0.100 E5 15
40.200 0.100 D5 15
40.500 0.100 E5 15
40.800 0.100 F#5 15
41.100 0.100 F#5 15
41.600 0.100 F#5 15
41.700 0.300 C#6 15
42.000 0.100 A#5 15
43.200 0.100 F#5 15
43.500 0.100 E5 15
43.800 0.100 D5 15
44.100 0.100 E5 15
44.400 0.100 F#5 15
44.700 0.100 E5 15
45.000 0.100 D5 15
45.300 0.100 E5 15
45.600 0.100 F#5 15
45.900 0.100 F#5 15
46.400 0.100 F#5 15
46.500 0.300 C#6 15
46.800 0.100 A#5 15
48.000 0.100 F#5 15
48.300 0.100 E5 15
48.600 0.100 D5 15
