Jackal.nsf track=5 framerate=60
Square1(18)
time dur note vol
0.000 0.117 A3 8
0.133 0.367 A3 1
0.500 0.667 B3 7
1.167 0.167 A3 6
1.333 0.167 G3 6
1.500 0.617 C4 7
2.133 0.367 C4 1
2.500 1.000 E4 6
3.500 0.500 D4 6
4.000 0.500 A3 7
4.500 0.500 B3 7
5.000 0.333 D4 6
5.333 0.167 B3 6
5.500 0.500 C4 6
6.000 0.500 E4 7
6.500 0.883 D4 6
7.383 0.233 C4 6
7.617 1.600 B3 7
Square2(23)
time dur note vol
0.000 0.117 D4 9
0.133 0.367 D4 1
0.500 0.667 G4 8
1.167 0.167 F#4 9
1.333 0.167 D4 9
1.500 0.617 E4 8
2.133 0.367 E4 1
2.500 0.333 A4 9
2.833 0.167 G4 9
3.000 0.333 F#4 9
3.333 0.167 G4 9
3.500 0.500 F#4 9
4.000 0.500 D4 8
4.500 0.500 G4 8
5.000 0.333 B4 9
5.333 0.167 G4 9
5.500 0.500 E4 9
6.000 0.333 C5 8
6.333 0.500 B4 9
6.833 0.183 A4 9
7.017 0.367 G4 9
7.383 0.233 F#4 9
7.617 1.600 G4 8
Triangle(24)
time dur note vol
0.500 0.350 G3 15
1.000 0.350 G3 15
1.500 0.350 C4 15
2.000 0.350 C4 15
2.500 0.350 C#4 15
3.000 0.350 C#4 15
3.500 0.350 D4 15
4.000 0.117 D4 15
4.167 0.117 D4 15
4.333 0.117 D4 15
4.500 0.217 G3 15
4.833 0.100 G3 15
5.000 0.100 G3 15
5.167 0.100 A3 15
5.333 0.100 B3 15
5.500 0.217 C4 15
5.833 0.100 C4 15
6.000 0.217 C4 15
6.333 0.100 C#4 15
6.500 0.217 D4 15
6.833 0.100 D4 15
7.017 0.217 D4 15
7.367 0.100 D4 15
7.567 1.500 G3 15
Noise(102)
time dur noise vol drum
0.850 0.017 9 6 tom
0.867 0.017 10 2 tom_low
0.883 0.033 13 15 kick_deep
1.017 0.017 7 7 snare_deep
1.033 0.017 8 5 tom_high
1.050 0.017 9 3 tom
1.067 0.033 10 2 tom_low
1.850 0.017 9 6 tom
1.867 0.017 10 2 tom_low
1.883 0.033 13 15 kick_deep
2.017 0.017 7 7 snare_deep
2.033 0.017 8 5 tom_high
2.050 0.017 9 3 tom
2.067 0.033 10 2 tom_low
2.850 0.017 9 6 tom
2.867 0.017 10 2 tom_low
2.883 0.033 13 15 kick_deep
3.017 0.017 7 7 snare_deep
3.033 0.017 8 5 tom_high
3.050 0.017 9 3 tom
3.067 0.033 10 2 tom_low
3.350 0.017 9 6 tom
3.367 0.017 10 2 tom_low
3.383 0.033 13 15 kick_deep
3.517 0.017 7 7 snare_deep
3.533 0.017 8 5 tom_high
3.550 0.017 9 3 tom
3.567 0.033 10 2 tom_low
3.900 0.017 7 7 snare_deep
3.917 0.017 8 5 tom_high
3.950 0.017 7 7 snare_deep
3.967 0.017 8 5 tom_high
3.983 0.017 9 3 tom
4.017 0.017 7 7 snare_deep
4.033 0.017 8 5 tom_high
4.050 0.017 9 3 tom
4.067 0.033 10 2 tom_low
4.183 0.017 7 7 snare_deep
4.200 0.017 8 5 tom_high
4.217 0.017 9 3 tom
4.233 0.033 10 2 tom_low
4.350 0.017 7 7 snare_deep
4.367 0.017 8 5 tom_high
4.383 0.017 9 3 tom
4.400 0.033 10 2 tom_low
4.850 0.017 9 6 tom
4.867 0.017 10 2 tom_low
4.883 0.033 13 15 kick_deep
5.017 0.017 7 7 snare_deep
5.033 0.017 8 5 tom_high
5.050 0.017 9 3 tom
5.067 0.033 10 2 tom_low
5.183 0.017 9 6 tom
5.200 0.017 10 2 tom_low
5.217 0.033 13 15 kick_deep
5.350 0.017 9 6 tom
5.367 0.017 10 2 tom_low
5.383 0.033 13 15 kick_deep
5.850 0.017 9 6 tom
5.867 0.017 10 2 tom_low
5.883 0.033 13 15 kick_deep
6.017 0.017 7 7 snare_deep
6.033 0.017 8 5 tom_high
6.050 0.017 9 3 tom
6.067 0.033 10 2 tom_low
6.183 0.017 9 6 tom
6.200 0.017 10 2 tom_low
6.217 0.033 13 15 kick_deep
6.350 0.017 9 6 tom
6.367 0.017 10 2 tom_low
6.383 0.033 13 15 kick_deep
6.517 0.017 7 7 snare_deep
6.533 0.017 8 5 tom_high
6.550 0.017 9 3 tom
6.567 0.033 10 2 tom_low
7.033 0.017 7 7 snare_deep
7.050 0.017 8 5 tom_high
7.083 0.017 7 7 snare_deep
7.100 0.017 8 5 tom_high
7.133 0.017 7 7 snare_deep
