jackal.nsf track=2 framerate=60
Square1(77)
time dur note vol
0.000 0.200 D#3 6
0.200 1.000 C3 6
1.200 0.300 D#3 7
1.500 0.300 D3 6
1.800 1.400 C3 6
3.200 0.200 D#3 6
3.400 1.000 C3 6
4.400 0.300 D#3 7
4.700 0.300 D3 6
5.000 1.000 C3 6
6.000 0.100 A#3 6
6.100 0.300 B3 6
6.400 1.600 D#4 5
8.000 1.600 D4 5
9.600 1.600 D#4 5
11.200 1.600 D4 5
12.800 1.600 G#3 5
14.400 0.800 A#3 5
15.200 0.800 F3 5
16.000 0.200 F3 6
16.200 1.000 C3 7
17.200 0.300 F3 5
17.500 0.300 E3 5
17.800 1.000 C3 7
18.800 0.100 A#3 6
18.900 0.300 B3 6
19.200 1.600 D#4 5
20.800 1.600 D4 5
22.400 1.600 D#4 5
24.000 1.600 D4 5
25.600 1.600 G#3 5
27.200 0.800 A#3 5
28.000 0.800 F3 5
28.800 0.200 F3 6
29.000 1.000 C3 7
30.000 0.300 F3 5
30.300 0.300 E3 5
30.600 1.000 C3 7
31.600 0.100 A#3 6
31.700 0.300 B3 6
32.000 0.300 A#3 6
32.300 1.300 A3 6
33.600 1.600 G3 6
35.200 0.300 A#4 6
35.500 1.167 A4 6
36.667 0.133 A#4 8
36.800 0.300 A4 6
37.100 1.300 G4 6
38.400 0.300 A#3 6
38.700 1.300 A3 6
40.000 1.600 G3 6
41.600 0.300 A#4 6
41.900 1.167 A4 6
43.067 0.133 A#4 8
43.200 0.300 A4 6
43.500 0.700 G4 6
44.200 0.083 G3 6
44.283 0.083 G#3 6
44.367 0.067 A3 6
44.433 0.067 A#3 6
44.500 0.050 B3 6
44.550 0.050 C4 6
44.600 0.033 C#4 15
44.633 0.033 D4 15
44.667 0.033 D#4 15
44.700 0.033 E4 15
44.733 0.033 F4 15
44.767 0.033 F#4 15
44.800 BEGIN_CYCLE
44.800 0.417 G4 6
45.233 0.367 G4 1
45.600 0.400 F4 6
46.000 0.417 C4 6
46.433 1.183 C4 1
47.633 0.367 C4 1
48.000 0.400 D4 6
48.400 0.417 C4 6
48.833 0.767 C4 1
49.600 END_CYCLE
Square2(90)
time dur note vol
0.000 0.200 C4 8
0.200 1.000 C2 10
1.200 0.300 C4 7
1.500 0.300 A#3 7
1.800 1.400 C2 10
3.200 0.200 C4 7
3.400 1.000 C2 10
4.400 0.300 C4 7
4.700 0.300 A#3 7
5.000 1.000 C2 10
6.000 0.100 A#2 10
6.100 0.300 B2 10
6.400 1.600 C5 6
8.000 1.600 A#4 6
9.600 1.600 G4 6
11.200 1.600 F4 6
12.800 1.600 D#4 6
14.400 0.800 F4 6
15.200 0.400 D4 6
15.600 0.400 D#4 6
16.000 0.200 D4 7
16.200 1.000 C2 10
17.200 0.300 D4 15
17.500 0.300 C4 7
17.800 1.000 C2 10
18.800 0.100 A#2 10
18.900 0.300 B2 10
19.200 1.600 C5 6
20.800 1.600 A#4 6
22.400 1.600 G4 6
24.000 1.600 F4 6
25.600 1.600 D#4 6
27.200 0.800 F4 6
28.000 0.400 D4 6
28.400 0.400 D#4 6
28.800 0.200 D4 7
29.000 1.000 C2 10
30.000 0.300 D4 15
30.300 0.300 C4 7
30.600 1.000 C2 10
31.600 0.100 A#2 10
31.700 0.300 B2 10
32.000 0.300 D#4 6
32.300 0.900 F4 6
33.200 0.300 D4 8
33.500 0.100 D#4 8
33.600 0.300 D4 6
33.900 1.300 C4 6
35.200 0.300 D#5 6
35.500 0.900 F5 6
36.400 0.267 D5 8
36.667 0.133 D#5 8
36.800 0.300 D5 6
37.100 1.300 C5 6
38.400 0.300 D#4 6
38.700 0.900 F4 6
39.600 0.300 D4 8
39.900 0.100 D#4 8
40.000 0.300 D4 6
40.300 1.300 C4 6
41.600 0.300 D#5 6
41.900 0.900 F5 6
42.800 0.267 D5 8
43.067 0.133 D#5 8
43.200 0.300 D5 6
43.500 0.700 C5 6
44.200 0.083 C4 6
44.283 0.083 C#4 6
44.367 0.067 D4 6
44.433 0.067 D#4 6
44.500 0.050 E4 6
44.550 0.050 F4 6
44.600 0.033 F#4 15
44.633 0.033 G4 15
44.667 0.033 G#4 15
44.700 0.033 A4 15
44.733 0.033 A#4 15
44.767 0.033 B4 15
44.800 BEGIN_CYCLE
44.800 0.417 C5 7
45.233 0.367 C5 1
45.600 0.400 A#4 7
46.000 0.417 A4 7
46.433 0.367 A4 1
46.800 0.200 G4 7
47.000 0.617 F4 7
47.633 0.367 F4 1
48.000 0.400 G4 7
48.400 0.417 F4 7
48.833 0.367 F4 1
49.200 0.400 E4 7
49.600 END_CYCLE
Triangle(336)
time dur note vol
0.000 0.100 C4 15
0.200 0.067 C4 15
0.300 0.067 C4 15
0.400 0.100 C4 15
0.600 0.067 C4 15
0.700 0.067 C4 15
0.800 0.100 C4 15
1.000 0.067 C4 15
1.100 0.067 C4 15
1.200 0.100 C4 15
1.400 0.067 C4 15
1.500 0.067 C4 15
1.600 0.100 C4 15
1.800 0.067 C4 15
1.900 0.067 C4 15
2.000 0.100 C4 15
2.200 0.067 C4 15
2.300 0.067 C4 15
2.400 0.100 C4 15
2.600 0.067 C4 15
2.700 0.067 C4 15
2.800 0.100 C4 15
3.000 0.067 C4 15
3.100 0.067 C4 15
3.200 0.100 C4 15
3.400 0.067 C4 15
3.500 0.067 C4 15
3.600 0.100 C4 15
3.800 0.067 C4 15
3.900 0.067 C4 15
4.000 0.100 C4 15
4.200 0.067 C4 15
4.300 0.067 C4 15
4.400 0.100 C4 15
4.600 0.067 C4 15
4.700 0.067 C4 15
4.800 0.100 C4 15
5.000 0.067 C4 15
5.100 0.067 C4 15
5.200 0.100 C4 15
5.400 0.067 C4 15
5.500 0.067 C4 15
5.600 0.100 C4 15
5.800 0.067 C4 15
5.900 0.067 C4 15
6.000 0.067 A#3 15
6.100 0.167 B3 15
6.400 0.133 C3 15
6.600 0.067 C4 15
6.700 0.067 C4 15
6.800 0.067 C4 15
7.000 0.067 C4 15
7.100 0.067 C4 15
7.200 0.067 C4 15
7.400 0.067 C4 15
7.500 0.067 C4 15
7.600 0.067 E4 15
7.700 0.167 F4 15
8.000 0.133 C3 15
8.200 0.067 C4 15
8.300 0.067 C4 15
8.400 0.067 C4 15
8.600 0.067 C4 15
8.700 0.067 C4 15
8.800 0.067 C4 15
9.000 0.067 C4 15
9.100 0.067 C4 15
9.200 0.067 A#3 15
9.300 0.167 B3 15
9.600 0.133 C3 15
9.800 0.067 C4 15
9.900 0.067 C4 15
10.000 0.067 C4 15
10.200 0.067 C4 15
10.300 0.067 C4 15
10.400 0.067 C4 15
10.600 0.067 C4 15
10.700 0.067 C4 15
10.800 0.067 E4 15
10.900 0.167 F4 15
11.200 0.133 C3 15
11.400 0.067 C4 15
11.500 0.067 C4 15
11.600 0.067 C4 15
11.800 0.067 C4 15
11.900 0.067 C4 15
12.000 0.067 C4 15
12.200 0.067 C4 15
12.300 0.067 C4 15
12.400 0.067 A#3 15
12.500 0.167 B3 15
12.800 0.133 C3 15
13.000 0.067 C4 15
13.100 0.067 C4 15
13.200 0.067 C4 15
13.400 0.067 C4 15
13.500 0.067 C4 15
13.600 0.067 C4 15
13.800 0.067 C4 15
13.900 0.067 C4 15
14.000 0.067 E4 15
14.100 0.167 F4 15
14.400 0.133 C3 15
14.600 0.067 C4 15
