supermario.nsf track=0 framerate=60

Square1(443)
time dur note vol
0.017 0.117 F#4 8
0.167 0.117 F#4 8
0.467 0.117 F#4 8
0.767 0.117 F#4 8
0.917 0.117 F#4 8
1.217 0.117 B4 8
1.817 0.117 G4 8
2.417 0.117 E4 8
2.867 0.117 C4 8
3.317 0.117 G3 8
3.767 0.117 C4 8
4.067 0.117 D4 8
4.367 0.117 C#4 8
4.517 0.117 C4 8
4.817 0.117 C4 8
5.017 0.117 G4 8
5.217 0.117 B4 8
5.417 0.117 C5 8
5.717 0.117 A4 8
5.867 0.117 B4 8
6.167 0.117 A4 8
6.467 0.117 E4 8
6.617 0.117 F4 8
6.767 0.117 D4 8
7.217 0.117 E4 8
7.667 0.117 C4 8
8.117 0.117 G3 8
8.567 0.117 C4 8
8.867 0.117 D4 8
9.167 0.117 C#4 8
9.317 0.117 C4 8
9.617 0.117 C4 8
9.817 0.117 G4 8
10.017 0.117 B4 8
10.217 0.117 C5 8
10.517 0.117 A4 8
10.667 0.117 B4 8
10.967 0.117 A4 8
11.267 0.117 E4 8
11.417 0.117 F4 8
11.567 0.117 D4 8
12.317 0.117 E5 8
12.467 0.117 D#5 8
12.617 0.117 D5 8
12.767 0.117 B4 8
13.067 0.117 C5 8
13.367 0.117 E4 8
13.517 0.117 F4 8
13.667 0.117 G4 8
13.967 0.117 C4 8
14.117 0.117 E4 8
14.267 0.117 F4 8
14.717 0.117 E5 8
14.867 0.117 D#5 8
15.017 0.117 D5 8
15.167 0.117 B4 8
15.467 0.117 C5 8
15.767 0.117 F5 8
16.067 0.117 F5 8
16.217 0.117 F5 8
17.117 0.117 E5 8
17.267 0.117 D#5 8
17.417 0.117 D5 8
17.567 0.117 B4 8
17.867 0.117 C5 8
18.167 0.117 E4 8
18.317 0.117 F4 8
18.467 0.117 G4 8
18.767 0.117 C4 8
18.917 0.117 E4 8
19.067 0.117 F4 8
19.517 0.117 G#4 8
19.967 0.117 F4 8
20.417 0.117 E4 8
21.917 0.117 E5 8
22.067 0.117 D#5 8
22.217 0.117 D5 8
22.367 0.117 B4 8
22.667 0.117 C5 8
22.967 0.117 E4 8
23.117 0.117 F4 8
23.267 0.117 G4 8
23.567 0.117 C4 8
23.717 0.117 E4 8
23.867 0.117 F4 8
24.317 0.117 E5 8
24.467 0.117 D#5 8
24.617 0.117 D5 8
24.767 0.117 B4 8
25.067 0.117 C5 8
25.367 0.117 F5 8
25.667 0.117 F5 8
25.817 0.117 F5 8
26.717 0.117 E5 8
26.867 0.117 D#5 8
27.017 0.117 D5 8
27.167 0.117 B4 8
27.467 0.117 C5 8
27.767 0.117 E4 8
27.917 0.117 F4 8
28.067 0.117 G4 8
28.367 0.117 C4 8
28.517 0.117 E4 8
28.667 0.117 F4 8
29.117 0.117 G#4 8
29.567 0.117 F4 8
30.017 0.117 E4 8
31.217 0.117 G#4 8
31.367 0.117 G#4 8
31.667 0.117 G#4 8
31.967 0.117 G#4 8
32.117 0.117 A#4 8
32.417 0.117 G4 8
32.567 0.117 E4 8
32.867 0.117 E4 8
33.017 0.117 C4 8
33.617 0.117 G#4 8
33.767 0.117 G#4 8
34.067 0.117 G#4 8
34.367 0.117 G#4 8
34.517 0.117 A#4 8
34.667 0.117 G4 8
36.017 0.117 G#4 8
36.167 0.117 G#4 8
36.467 0.117 G#4 8
36.767 0.117 G#4 8
36.917 0.117 A#4 8
37.217 0.117 G4 8
37.367 0.117 E4 8
37.667 0.117 E4 8
37.817 0.117 C4 8
38.417 0.117 F#4 8
38.567 0.117 F#4 8
38.867 0.117 F#4 8
39.167 0.117 F#4 8
39.317 0.117 F#4 8
39.617 0.117 B4 8
40.217 0.117 G4 8
40.817 0.117 E4 8
41.267 BEGIN_CYCLE
41.267 0.117 C4 8
41.717 0.117 G3 8
42.167 0.117 C4 8
42.467 0.117 D4 8
42.767 0.117 C#4 8
42.917 0.117 C4 8
43.217 0.117 C4 8
43.417 0.117 G4 8
43.617 0.117 B4 8
43.817 0.117 C5 8
44.117 0.117 A4 8
44.267 0.117 B4 8
44.567 0.117 A4 8
44.867 0.117 E4 8
45.017 0.117 F4 8
45.167 0.117 D4 8
45.617 0.117 E4 8
46.067 0.117 C4 8
46.517 0.117 G3 8
46.967 0.117 C4 8
47.267 0.117 D4 8
47.567 0.117 C#4 8
47.717 0.117 C4 8
48.017 0.117 C4 8
48.217 0.117 G4 8
48.417 0.117 B4 8
48.617 0.117 C5 8
48.917 0.117 A4 8
49.067 0.117 B4 8
49.367 0.117 A4 8
49.667 0.117 E4 8
49.817 0.117 F4 8
49.967 0.117 D4 8
50.417 0.117 C5 8
50.567 0.117 A4 8
50.867 0.117 E4 8
51.317 0.117 E4 8
51.617 0.117 F4 8
51.767 0.117 C5 8
52.067 0.117 C5 8
52.217 0.117 F4 8
52.817 0.117 G4 8
53.017 0.117 F5 8
53.217 0.117 F5 8
53.417 0.117 F5 8
53.617 0.117 E5 8
53.817 0.117 D5 8
54.017 0.117 C5 8
54.167 0.117 A4 8
54.467 0.117 F4 8
54.617 0.117 E4 8
55.217 0.117 C5 8
55.367 0.117 A4 8
55.667 0.117 E4 8
56.117 0.117 E4 8
56.417 0.117 F4 8
56.567 0.117 C5 8
56.867 0.117 C5 8
57.017 0.117 F4 8
57.617 0.117 G4 8
57.767 0.117 D5 8
58.067 0.117 D5 8
58.217 0.117 D5 8
58.417 0.117 C5 8
58.617 0.117 B4 8
58.817 0.117 G4 8
58.967 0.117 E4 8
59.267 0.117 E4 8
59.417 0.117 C4 8
60.017 0.117 C5 8
60.167 0.117 A4 8
60.467 0.117 E4 8
60.917 0.117 E4 8
61.217 0.117 F4 8
61.367 0.117 C5 8
61.667 0.117 C5 8
61.817 0.117 F4 8
62.417 0.117 G4 8
62.617 0.117 F5 8
62.817 0.117 F5 8
63.017 0.117 F5 8
63.217 0.117 E5 8
63.417 0.117 D5 8
63.617 0.117 C5 8
63.767 0.117 A4 8
64.067 0.117 F4 8
64.217 0.117 E4 8
64.817 0.117 C5 8
64.967 0.117 A4 8
65.267 0.117 E4 8
65.717 0.117 E4 8
66.017 0.117 F4 8
66.167 0.117 C5 8
66.467 0.117 C5 8
66.617 0.117 F4 8
67.217 0.117 G4 8
67.367 0.117 D5 8
67.667 0.117 D5 8
67.817 0.117 D5 8
68.017 0.117 C5 8
68.217 0.117 B4 8
68.417 0.117 G4 8
68.567 0.117 E4 8
68.867 0.117 E4 8
69.017 0.117 C4 8
69.617 0.117 G#4 8
69.767 0.117 G#4 8
70.067 0.117 G#4 8
70.367 0.117 G#4 8
70.517 0.117 A#4 8
70.817 0.117 G4 8
70.967 0.117 E4 8
71.267 0.117 E4 8
71.417 0.117 C4 8
72.017 0.117 G#4 8
72.167 0.117 G#4 8
72.467 0.117 G#4 8
72.767 0.117 G#4 8
72.917 0.117 A#4 8
73.067 0.117 G4 8
74.417 0.117 G#4 8
74.567 0.117 G#4 8
74.867 0.117 G#4 8
75.167 0.117 G#4 8
75.317 0.117 A#4 8
75.617 0.117 G4 8
75.767 0.117 E4 8
76.067 0.117 E4 8
76.217 0.117 C4 8
76.817 0.117 F#4 8
76.967 0.117 F#4 8
77.267 0.117 F#4 8
77.567 0.117 F#4 8
77.717 0.117 F#4 8
78.017 0.117 B4 8
78.617 0.117 G4 8
79.217 0.117 C5 8
79.367 0.117 A4 8
79.667 0.117 E4 8
80.117 0.117 E4 8
80.417 0.117 F4 8
80.567 0.117 C5 8
80.867 0.117 C5 8
81.017 0.117 F4 8
81.617 0.117 G4 8
81.817 0.117 F5 8
82.017 0.117 F5 8
82.217 0.117 F5 8
82.417 0.117 E5 8
82.617 0.117 D5 8
82.817 0.117 C5 8
82.967 0.117 A4 8
83.267 0.117 F4 8
83.417 0.117 E4 8
84.017 0.117 C5 8
84.167 0.117 A4 8
84.467 0.117 E4 8
84.917 0.117 E4 8
85.217 0.117 F4 8
85.367 0.117 C5 8
85.667 0.117 C5 8
85.817 0.117 F4 8
86.417 0.117 G4 8
86.567 0.117 D5 8
86.867 0.117 D5 8
87.017 0.117 D5 8
87.217 0.117 C5 8
87.417 0.117 B4 8
87.617 0.117 G4 8
87.767 0.117 E4 8
88.067 0.117 E4 8
88.217 0.117 C4 8
88.817 0.117 E4 8
89.267 0.117 C4 8
89.717 0.117 G3 8
90.167 0.117 C4 8
90.467 0.117 D4 8
90.767 0.117 C#4 8
90.917 0.117 C4 8
91.217 0.117 C4 8
91.417 0.117 G4 8
91.617 0.117 B4 8
91.817 0.117 C5 8
92.117 0.117 A4 8
92.267 0.117 B4 8
92.567 0.117 A4 8
92.867 0.117 E4 8
93.017 0.117 F4 8
93.167 0.117 D4 8
93.617 0.117 E4 8
94.067 0.117 C4 8
94.517 0.117 G3 8
94.967 0.117 C4 8
95.267 0.117 D4 8
95.567 0.117 C#4 8
95.717 0.117 C4 8
96.017 0.117 C4 8
96.217 0.117 G4 8
96.417 0.117 B4 8
96.617 0.117 C5 8
96.917 0.117 A4 8
97.067 0.117 B4 8
97.367 0.117 A4 8
97.667 0.117 E4 8
97.817 0.117 F4 8
97.967 0.117 D4 8
98.717 0.117 E5 8
98.867 0.117 D#5 8
99.017 0.117 D5 8
99.167 0.117 B4 8
99.467 0.117 C5 8
99.767 0.117 E4 8
99.917 0.117 F4 8
100.067 0.117 G4 8
100.367 0.117 C4 8
100.517 0.117 E4 8
100.667 0.117 F4 8
101.117 0.117 E5 8
101.267 0.117 D#5 8
101.417 0.117 D5 8
101.567 0.117 B4 8
101.867 0.117 C5 8
102.167 0.117 F5 8
102.467 0.117 F5 8
102.617 0.117 F5 8
103.517 0.117 E5 8
103.667 0.117 D#5 8
103.817 0.117 D5 8
103.967 0.117 B4 8
104.267 0.117 C5 8
104.567 0.117 E4 8
104.717 0.117 F4 8
104.867 0.117 G4 8
105.167 0.117 C4 8
105.317 0.117 E4 8
105.467 0.117 F4 8
105.917 0.117 G#4 8
106.367 0.117 F4 8
106.817 0.117 E4 8
108.317 0.117 E5 8
108.467 0.117 D#5 8
108.617 0.117 D5 8
108.767 0.117 B4 8
109.067 0.117 C5 8
109.367 0.117 E4 8
109.517 0.117 F4 8
109.667 0.117 G4 8
109.967 0.117 C4 8
110.117 0.117 E4 8
110.267 0.117 F4 8
110.717 0.117 E5 8
110.867 0.117 D#5 8
111.017 0.117 D5 8
111.167 0.117 B4 8
111.467 0.117 C5 8
111.767 0.117 F5 8
112.067 0.117 F5 8
112.217 0.117 F5 8
113.117 0.117 E5 8
113.267 0.117 D#5 8
113.417 0.117 D5 8
113.567 0.117 B4 8
113.867 0.117 C5 8
114.167 0.117 E4 8
114.317 0.117 F4 8
114.467 0.117 G4 8
114.767 0.117 C4 8
114.917 0.117 E4 8
115.067 0.117 F4 8
115.517 0.117 G#4 8
115.967 0.117 F4 8
116.417 0.117 E4 8
117.617 0.117 G#4 8
117.767 0.117 G#4 8
118.067 0.117 G#4 8
118.367 0.117 G#4 8
118.517 0.117 A#4 8
118.817 0.117 G4 8
118.967 0.117 E4 8
119.267 0.117 E4 8
119.417 0.117 C4 8
120.017 0.117 G#4 8
120.167 0.117 G#4 8
120.467 0.117 G#4 8
120.767 0.117 G#4 8
120.917 0.117 A#4 8
121.067 0.117 G4 8
122.417 0.117 G#4 8
122.567 0.117 G#4 8
122.867 0.117 G#4 8
123.167 0.117 G#4 8
123.317 0.117 A#4 8
123.617 0.117 G4 8
123.767 0.117 E4 8
124.067 0.117 E4 8
124.217 0.117 C4 8
124.817 0.117 F#4 8
124.967 0.117 F#4 8
125.267 0.117 F#4 8
125.567 0.117 F#4 8
125.717 0.117 F#4 8
126.017 0.117 B4 8
126.617 0.117 G4 8
127.217 0.117 E4 8
127.667 END_CYCLE

Square2(430)
time dur note vol
0.017 0.117 E5 8
0.167 0.117 E5 8
0.467 0.117 E5 8
0.767 0.117 C5 8
0.917 0.117 E5 8
1.217 0.117 G5 8
2.417 0.117 C5 8
2.867 0.117 G4 8
3.317 0.117 E4 8
3.767 0.117 A4 8
4.067 0.117 B4 8
4.367 0.117 A#4 8
4.517 0.117 A4 8
4.817 0.117 G4 8
5.017 0.117 E5 8
5.217 0.117 G5 8
5.417 0.117 A5 8
5.717 0.117 F5 8
5.867 0.117 G5 8
6.167 0.117 E5 8
6.467 0.117 C5 8
6.617 0.117 D5 8
6.767 0.117 B4 8
7.217 0.117 C5 8
7.667 0.117 G4 8
8.117 0.117 E4 8
8.567 0.117 A4 8
8.867 0.117 B4 8
9.167 0.117 A#4 8
9.317 0.117 A4 8
9.617 0.117 G4 8
9.817 0.117 E5 8
10.017 0.117 G5 8
10.217 0.117 A5 8
10.517 0.117 F5 8
10.667 0.117 G5 8
10.967 0.117 E5 8
11.267 0.117 C5 8
11.417 0.117 D5 8
11.567 0.117 B4 8
12.317 0.117 G5 8
12.467 0.117 F#5 8
12.617 0.117 F5 8
12.767 0.117 D#5 8
13.067 0.117 E5 8
13.367 0.117 G#4 8
13.517 0.117 A4 8
13.667 0.117 C5 8
13.967 0.117 A4 8
14.117 0.117 C5 8
14.267 0.117 D5 8
14.717 0.117 G5 8
14.867 0.117 F#5 8
15.017 0.117 F5 8
15.167 0.117 D#5 8
15.467 0.117 E5 8
15.767 0.117 C6 8
16.067 0.117 C6 8
16.217 0.117 C6 8
17.117 0.117 G5 8
17.267 0.117 F#5 8
17.417 0.117 F5 8
17.567 0.117 D#5 8
17.867 0.117 E5 8
18.167 0.117 G#4 8
18.317 0.117 A4 8
18.467 0.117 C5 8
18.767 0.117 A4 8
18.917 0.117 C5 8
19.067 0.117 D5 8
19.517 0.117 D#5 8
19.967 0.117 D5 8
20.417 0.117 C5 8
21.917 0.117 G5 8
22.067 0.117 F#5 8
22.217 0.117 F5 8
22.367 0.117 D#5 8
22.667 0.117 E5 8
22.967 0.117 G#4 8
23.117 0.117 A4 8
23.267 0.117 C5 8
23.567 0.117 A4 8
23.717 0.117 C5 8
23.867 0.117 D5 8
24.317 0.117 G5 8
24.467 0.117 F#5 8
24.617 0.117 F5 8
24.767 0.117 D#5 8
25.067 0.117 E5 8
25.367 0.117 C6 8
25.667 0.117 C6 8
25.817 0.117 C6 8
26.717 0.117 G5 8
26.867 0.117 F#5 8
27.017 0.117 F5 8
27.167 0.117 D#5 8
27.467 0.117 E5 8
27.767 0.117 G#4 8
27.917 0.117 A4 8
28.067 0.117 C5 8
28.367 0.117 A4 8
28.517 0.117 C5 8
28.667 0.117 D5 8
29.117 0.117 D#5 8
29.567 0.117 D5 8
30.017 0.117 C5 8
31.217 0.117 C5 8
31.367 0.117 C5 8
31.667 0.117 C5 8
31.967 0.117 C5 8
32.117 0.117 D5 8
32.417 0.117 E5 8
32.567 0.117 C5 8
32.867 0.117 A4 8
33.017 0.117 G4 8
33.617 0.117 C5 8
33.767 0.117 C5 8
34.067 0.117 C5 8
34.367 0.117 C5 8
34.517 0.117 D5 8
34.667 0.117 E5 8
36.017 0.117 C5 8
36.167 0.117 C5 8
36.467 0.117 C5 8
36.767 0.117 C5 8
36.917 0.117 D5 8
37.217 0.117 E5 8
37.367 0.117 C5 8
37.667 0.117 A4 8
37.817 0.117 G4 8
38.417 0.117 E5 8
38.567 0.117 E5 8
38.867 0.117 E5 8
39.167 0.117 C5 8
39.317 0.117 E5 8
39.617 0.117 G5 8
40.817 0.117 C5 8
41.267 BEGIN_CYCLE
41.267 0.117 G4 8
41.717 0.117 E4 8
42.167 0.117 A4 8
42.467 0.117 B4 8
42.767 0.117 A#4 8
42.917 0.117 A4 8
43.217 0.117 G4 8
43.417 0.117 E5 8
43.617 0.117 G5 8
43.817 0.117 A5 8
44.117 0.117 F5 8
44.267 0.117 G5 8
44.567 0.117 E5 8
44.867 0.117 C5 8
45.017 0.117 D5 8
45.167 0.117 B4 8
45.617 0.117 C5 8
46.067 0.117 G4 8
46.517 0.117 E4 8
46.967 0.117 A4 8
47.267 0.117 B4 8
47.567 0.117 A#4 8
47.717 0.117 A4 8
48.017 0.117 G4 8
48.217 0.117 E5 8
48.417 0.117 G5 8
48.617 0.117 A5 8
48.917 0.117 F5 8
49.067 0.117 G5 8
49.367 0.117 E5 8
49.667 0.117 C5 8
49.817 0.117 D5 8
49.967 0.117 B4 8
50.417 0.117 E5 8
50.567 0.117 C5 8
50.867 0.117 G4 8
51.317 0.117 G#4 8
51.617 0.117 A4 8
51.767 0.117 F5 8
52.067 0.117 F5 8
52.217 0.117 A4 8
52.817 0.117 B4 8
53.017 0.117 A5 8
53.217 0.117 A5 8
53.417 0.117 A5 8
53.617 0.117 G5 8
53.817 0.117 F5 8
54.017 0.117 E5 8
54.167 0.117 C5 8
54.467 0.117 A4 8
54.617 0.117 G4 8
55.217 0.117 E5 8
55.367 0.117 C5 8
55.667 0.117 G4 8
56.117 0.117 G#4 8
56.417 0.117 A4 8
56.567 0.117 F5 8
56.867 0.117 F5 8
57.017 0.117 A4 8
57.617 0.117 B4 8
57.767 0.117 F5 8
58.067 0.117 F5 8
58.217 0.117 F5 8
58.417 0.117 E5 8
58.617 0.117 D5 8
58.817 0.117 C5 8
60.017 0.117 E5 8
60.167 0.117 C5 8
60.467 0.117 G4 8
60.917 0.117 G#4 8
61.217 0.117 A4 8
61.367 0.117 F5 8
61.667 0.117 F5 8
61.817 0.117 A4 8
62.417 0.117 B4 8
62.617 0.117 A5 8
62.817 0.117 A5 8
63.017 0.117 A5 8
63.217 0.117 G5 8
63.417 0.117 F5 8
63.617 0.117 E5 8
63.767 0.117 C5 8
64.067 0.117 A4 8
64.217 0.117 G4 8
64.817 0.117 E5 8
64.967 0.117 C5 8
65.267 0.117 G4 8
65.717 0.117 G#4 8
66.017 0.117 A4 8
66.167 0.117 F5 8
66.467 0.117 F5 8
66.617 0.117 A4 8
67.217 0.117 B4 8
67.367 0.117 F5 8
67.667 0.117 F5 8
67.817 0.117 F5 8
68.017 0.117 E5 8
68.217 0.117 D5 8
68.417 0.117 C5 8
69.617 0.117 C5 8
69.767 0.117 C5 8
70.067 0.117 C5 8
70.367 0.117 C5 8
70.517 0.117 D5 8
70.817 0.117 E5 8
70.967 0.117 C5 8
71.267 0.117 A4 8
71.417 0.117 G4 8
72.017 0.117 C5 8
72.167 0.117 C5 8
72.467 0.117 C5 8
72.767 0.117 C5 8
72.917 0.117 D5 8
73.067 0.117 E5 8
74.417 0.117 C5 8
74.567 0.117 C5 8
74.867 0.117 C5 8
75.167 0.117 C5 8
75.317 0.117 D5 8
75.617 0.117 E5 8
75.767 0.117 C5 8
76.067 0.117 A4 8
76.217 0.117 G4 8
76.817 0.117 E5 8
76.967 0.117 E5 8
77.267 0.117 E5 8
77.567 0.117 C5 8
77.717 0.117 E5 8
78.017 0.117 G5 8
79.217 0.117 E5 8
79.367 0.117 C5 8
79.667 0.117 G4 8
80.117 0.117 G#4 8
80.417 0.117 A4 8
80.567 0.117 F5 8
80.867 0.117 F5 8
81.017 0.117 A4 8
81.617 0.117 B4 8
81.817 0.117 A5 8
82.017 0.117 A5 8
82.217 0.117 A5 8
82.417 0.117 G5 8
82.617 0.117 F5 8
82.817 0.117 E5 8
82.967 0.117 C5 8
83.267 0.117 A4 8
83.417 0.117 G4 8
84.017 0.117 E5 8
84.167 0.117 C5 8
84.467 0.117 G4 8
84.917 0.117 G#4 8
85.217 0.117 A4 8
85.367 0.117 F5 8
85.667 0.117 F5 8
85.817 0.117 A4 8
86.417 0.117 B4 8
86.567 0.117 F5 8
86.867 0.117 F5 8
87.017 0.117 F5 8
87.217 0.117 E5 8
87.417 0.117 D5 8
87.617 0.117 C5 8
88.817 0.117 C5 8
89.267 0.117 G4 8
89.717 0.117 E4 8
90.167 0.117 A4 8
90.467 0.117 B4 8
90.767 0.117 A#4 8
90.917 0.117 A4 8
91.217 0.117 G4 8
91.417 0.117 E5 8
91.617 0.117 G5 8
91.817 0.117 A5 8
92.117 0.117 F5 8
92.267 0.117 G5 8
92.567 0.117 E5 8
92.867 0.117 C5 8
93.017 0.117 D5 8
93.167 0.117 B4 8
93.617 0.117 C5 8
94.067 0.117 G4 8
94.517 0.117 E4 8
