Castlevania.nsf track=2 framerate=60
Square1(83)
time dur note vol
0.000 1.733 D5 3
1.733 0.133 A4 3
1.867 0.133 C5 3
2.000 1.867 D5 3
3.867 0.133 A4 3
4.000 0.133 C5 3
4.133 0.133 D5 3
4.267 BEGIN_CYCLE
4.267 0.250 D4 7
4.533 0.250 D4 7
4.800 0.117 F4 7
4.933 0.383 A4 7
5.600 0.250 D4 7
5.867 0.117 G4 7
6.000 0.383 B4 7
6.400 0.250 D4 7
6.667 0.250 D4 7
6.933 0.117 F4 7
7.067 0.383 A4 7
8.000 0.117 A3 7
8.133 0.383 C4 7
8.533 0.250 D4 7
8.800 0.250 D4 7
9.067 0.117 F4 7
9.200 0.383 A4 7
9.867 0.250 D4 7
10.133 0.117 G4 7
10.267 0.383 B4 7
10.667 0.250 D4 7
10.933 0.250 D4 7
11.200 0.117 F4 7
11.333 0.383 A4 7
12.267 0.117 A3 7
12.400 0.383 C4 7
12.800 0.400 A4 3
13.200 0.933 D5 15
14.133 0.267 C#5 15
14.400 0.267 C5 15
14.667 0.267 B4 15
14.933 0.133 D5 15
15.067 0.133 E5 15
15.200 0.133 D5 15
15.333 1.733 A#4 15
17.067 0.400 A4 15
17.467 0.933 D5 15
18.400 0.267 C#5 15
18.667 0.267 C5 15
18.933 0.267 B4 15
19.200 0.133 D5 15
19.333 0.133 E5 15
19.467 0.133 D5 15
19.600 1.733 A#4 15
21.333 0.217 C5 5
21.600 0.083 C5 5
21.733 0.217 B4 5
22.000 0.083 B4 5
22.133 0.217 A#4 5
22.400 0.217 A4 5
22.667 0.083 A4 5
22.800 0.217 G#4 5
23.067 0.083 G#4 5
23.200 0.217 G4 5
23.467 0.350 F4 5
23.867 1.683 D4 5
25.600 0.217 C5 5
25.867 0.083 C5 5
26.000 0.217 B4 5
26.267 0.083 B4 5
26.400 0.217 A#4 5
26.667 0.217 A4 5
26.933 0.083 A4 5
27.067 0.217 G#4 5
27.333 0.083 G#4 5
27.467 0.217 G4 5
27.733 0.350 F4 5
28.133 1.683 D4 5
30.133 0.117 B3 7
30.267 0.117 B3 7
30.533 0.367 B3 7
30.933 0.500 A3 7
32.267 0.117 B3 7
32.400 0.117 B3 7
32.667 0.367 B3 7
33.067 0.500 A3 7
34.133 END_CYCLE
Square2(89)
time dur note vol
0.000 0.267 D3 9
0.267 0.267 A3 9
0.533 0.267 D4 9
0.800 0.133 A3 9
0.933 0.267 C4 9
1.200 0.133 G3 9
1.333 0.400 B3 9
1.733 0.133 A2 9
1.867 0.133 C3 9
2.000 0.400 D3 9
2.400 0.267 A3 9
2.667 0.267 D4 9
2.933 0.133 A3 9
3.067 0.267 C4 9
3.333 0.133 G3 9
3.467 0.400 B3 9
3.867 0.133 A2 9
4.000 0.133 C3 9
4.133 0.133 D3 9
4.267 BEGIN_CYCLE
4.267 0.250 D3 8
4.533 0.250 D3 8
4.800 0.133 F3 8
4.933 0.133 A3 8
5.600 0.250 D3 8
5.867 0.133 G3 8
6.000 0.383 B3 8
6.400 0.250 D3 8
6.667 0.250 D3 8
6.933 0.133 F3 8
7.067 0.383 A3 8
8.000 0.133 A2 8
8.133 0.383 C3 8
8.533 0.250 D3 8
8.800 0.250 D3 8
9.067 0.133 F3 8
9.200 0.133 A3 8
9.867 0.250 D3 8
10.133 0.133 G3 8
10.267 0.383 B3 8
10.667 0.250 D3 8
10.933 0.250 D3 8
11.200 0.133 F3 8
11.333 0.383 A3 8
12.267 0.133 A2 8
12.400 0.383 C3 8
12.800 0.400 D5 3
13.200 1.733 A5 15
14.933 0.133 G#5 15
15.067 0.133 A5 15
15.200 0.133 G#5 15
15.333 1.733 F5 15
17.067 0.400 D5 15
17.467 1.733 A5 15
19.200 0.133 G#5 15
19.333 0.133 A5 15
19.467 0.133 G#5 15
19.600 1.733 F5 15
21.333 0.233 C5 6
21.600 0.100 C5 6
21.733 0.233 B4 6
22.000 0.100 B4 6
22.133 0.233 A#4 6
22.400 0.233 A4 6
22.667 0.100 A4 6
22.800 0.233 G#4 6
23.067 0.100 G#4 6
23.200 0.233 G4 6
23.467 0.367 F4 6
23.867 1.700 D4 6
25.600 0.233 C5 6
25.867 0.100 C5 6
26.000 0.233 B4 6
26.267 0.100 B4 6
26.400 0.233 A#4 6
26.667 0.233 A4 6
26.933 0.100 A4 6
27.067 0.233 G#4 6
27.333 0.100 G#4 6
27.467 0.233 G4 6
27.733 0.367 F4 6
28.133 1.700 D4 6
30.133 0.117 D5 7
30.267 0.117 D5 7
30.533 0.367 D5 7
30.933 0.233 C#5 7
32.267 0.117 D5 7
32.400 0.117 D5 7
32.667 0.367 D5 7
33.067 0.233 C#5 7
34.133 END_CYCLE
Triangle(158)
time dur note vol
0.000 0.083 D4 15
0.133 0.083 D4 15
0.267 0.083 D4 15
0.400 0.083 D4 15
0.533 0.083 D4 15
0.667 0.083 D4 15
0.800 0.083 D4 15
0.933 0.083 D4 15
1.067 0.083 D4 15
1.200 0.083 D4 15
1.333 0.083 D4 15
1.467 0.083 D4 15
1.600 0.083 D4 15
1.733 0.083 A3 15
1.867 0.083 C4 15
2.000 0.083 D4 15
2.133 0.083 D4 15
2.267 0.083 D4 15
2.400 0.083 D4 15
2.533 0.083 D4 15
2.667 0.083 D4 15
2.800 0.083 D4 15
2.933 0.083 D4 15
3.067 0.083 D4 15
3.200 0.083 D4 15
3.333 0.083 D4 15
3.467 0.083 D4 15
3.600 0.083 D4 15
3.733 0.083 D4 15
3.867 0.083 A3 15
4.000 0.083 C4 15
4.133 0.083 D4 15
4.267 BEGIN_CYCLE
4.267 0.167 D3 15
4.533 0.167 D3 15
4.800 0.133 F3 15
4.933 0.167 A3 15
5.600 0.167 D3 15
5.867 0.133 G3 15
6.000 0.300 B3 15
6.400 0.167 D3 15
6.667 0.167 D3 15
6.933 0.133 F3 15
7.067 0.167 A3 15
8.000 0.133 A3 15
8.133 0.400 C4 15
8.533 0.167 D3 15
8.800 0.167 D3 15
9.067 0.133 F3 15
9.200 0.167 A3 15
9.867 0.167 D3 15
10.133 0.133 G3 15
10.267 0.300 B3 15
10.667 0.167 D3 15
10.933 0.167 D3 15
11.200 0.133 F3 15
11.333 0.167 A3 15
12.267 0.133 A3 15
12.400 0.400 C4 15
12.800 0.100 D4 15
13.067 0.083 D4 15
13.333 0.100 F4 15
13.467 0.100 A4 15
14.133 0.100 D4 15
14.400 0.083 F4 15
14.533 0.100 A4 15
14.933 0.100 A#3 15
15.200 0.100 A#3 15
15.467 0.100 D4 15
15.600 0.100 F4 15
16.267 0.100 A#3 15
16.533 0.100 D4 15
17.067 0.100 D4 15
17.333 0.100 D4 15
17.600 0.100 F4 15
17.733 0.100 A4 15
18.400 0.100 D4 15
18.667 0.100 F4 15
18.800 0.100 A4 15
19.200 0.083 A#3 15
19.467 0.100 A#3 15
19.733 0.100 D4 15
19.867 0.083 F4 15
20.533 0.100 A#3 15
20.800 0.100 D4 15
21.333 0.083 A3 15
21.467 0.083 A3 15
21.600 0.083 A3 15
21.733 0.083 A3 15
21.867 0.083 A3 15
22.000 0.083 A3 15
22.133 0.083 A3 15
22.267 0.083 A3 15
22.400 0.083 A3 15
22.533 0.083 A3 15
22.667 0.083 A3 15
22.800 0.083 A3 15
22.933 0.083 A3 15
23.067 0.083 A3 15
23.200 0.083 A3 15
23.333 0.083 A3 15
23.467 0.083 A#4 15
23.600 0.083 A#4 15
23.733 0.083 A#4 15
23.867 0.083 A4 15
24.000 0.083 A4 15
24.133 0.083 A4 15
24.267 0.083 G#4 15
24.400 0.083 G#4 15
24.533 0.083 A#4 15
24.667 0.083 A#4 15
24.800 0.083 A#4 15
24.933 0.083 A4 15
25.067 0.083 A4 15
25.200 0.083 A4 15
25.333 0.083 G#4 15
25.467 0.083 G#4 15
25.600 0.083 A3 15
25.733 0.083 A3 15
25.867 0.083 A3 15
26.000 0.083 A3 15
26.133 0.083 A3 15
26.267 0.083 A3 15
26.400 0.083 A3 15
26.533 0.083 A3 15
26.667 0.083 A3 15
26.800 0.083 A3 15
26.933 0.083 A3 15
27.067 0.083 A3 15
27.200 0.083 A3 15
27.333 0.083 A3 15
27.467 0.083 A3 15
27.600 0.083 A3 15
27.733 0.083 A#4 15
27.867 0.083 A#4 15
28.000 0.083 A#4 15
28.133 0.083 A4 15
28.267 0.083 A4 15
28.400 0.083 A4 15
28.533 0.083 G#4 15
28.667 0.083 G#4 15
28.800 0.083 A#4 15
28.933 0.083 A#4 15
29.067 0.083 A#4 15
29.200 0.083 A4 15
29.333 0.083 A4 15
29.467 0.083 A4 15
29.600 0.083 G#4 15
29.733 0.083 G#4 15
29.867 0.267 G#3 15
30.133 0.133 G#4 15
30.267 0.150 G#3 15
30.533 0.150 G#3 15
30.933 0.133 A3 15
32.000 0.267 G#3 15
32.267 0.133 G#4 15
32.400 0.133 G#3 15
32.667 0.150 G#3 15
33.067 0.150 A3 15
34.133 END_CYCLE
Noise(410)
time dur noise vol drum
0.000 0.017 11 8 kick_tight
0.017 0.033 13 3 roar_ultra_low
0.133 0.017 11 8 kick_tight
0.150 0.033 13 3 roar_ultra_low
0.267 0.017 11 8 kick_tight
0.283 0.033 13 3 roar_ultra_low
0.400 0.017 11 8 kick_tight
0.417 0.033 13 3 roar_ultra_low
0.533 0.017 11 8 kick_tight
0.550 0.033 13 3 roar_ultra_low
0.667 0.017 11 8 kick_tight
0.683 0.033 13 3 roar_ultra_low
0.800 0.017 11 8 kick_tight
0.817 0.033 13 3 roar_ultra_low
0.933 0.017 11 8 kick_tight
0.950 0.033 13 3 roar_ultra_low
1.067 0.017 11 8 kick_tight
1.083 0.033 13 3 roar_ultra_low
1.200 0.017 11 8 kick_tight
1.217 0.033 13 3 roar_ultra_low
1.333 0.017 11 8 kick_tight
1.350 0.033 13 3 roar_ultra_low
1.467 0.017 11 8 kick_tight
1.483 0.033 13 3 roar_ultra_low
1.600 0.017 11 8 kick_tight
1.617 0.033 13 3 roar_ultra_low
1.733 0.100 8 6 tom_low
1.833 0.033 13 1 roar_ultra_low
1.867 0.100 8 6 tom_low
1.967 0.033 13 1 roar_ultra_low
2.000 0.100 8 6 tom_low
2.100 0.050 13 1 roar_ultra_low
2.267 0.017 11 8 kick_tight
2.283 0.033 13 3 roar_ultra_low
2.400 0.017 11 8 kick_tight
2.417 0.033 13 3 roar_ultra_low
2.533 0.017 11 8 kick_tight
2.550 0.033 13 3 roar_ultra_low
2.667 0.017 11 8 kick_tight
2.683 0.033 13 3 roar_ultra_low
2.800 0.017 11 8 kick_tight
2.817 0.033 13 3 roar_ultra_low
2.933 0.017 11 8 kick_tight
2.950 0.033 13 3 roar_ultra_low
3.067 0.017 11 8 kick_tight
3.083 0.033 13 3 roar_ultra_low
3.200 0.017 11 8 kick_tight
3.217 0.033 13 3 roar_ultra_low
3.333 0.017 11 8 kick_tight
3.350 0.033 13 3 roar_ultra_low
3.467 0.017 11 8 kick_tight
3.483 0.033 13 3 roar_ultra_low
3.600 0.017 11 8 kick_tight
3.617 0.033 13 3 roar_ultra_low
3.733 0.017 11 8 kick_tight
3.750 0.033 13 3 roar_ultra_low
3.867 0.100 8 6 tom_low
3.967 0.033 13 1 roar_ultra_low
4.000 0.100 8 6 tom_low
4.100 0.033 13 1 roar_ultra_low
4.133 0.100 8 6 tom_low
4.233 0.050 13 1 roar_ultra_low
4.267 BEGIN_CYCLE
4.400 0.017 11 8 kick_tight
4.417 0.033 13 3 roar_ultra_low
4.533 0.100 8 6 tom_low
4.633 0.050 13 1 roar_ultra_low
4.800 0.017 11 8 kick_tight
4.817 0.033 13 3 roar_ultra_low
4.933 0.017 11 8 kick_tight
4.950 0.033 13 3 roar_ultra_low
5.067 0.017 11 8 kick_tight
5.083 0.033 13 3 roar_ultra_low
5.200 0.017 11 8 kick_tight
5.217 0.033 13 3 roar_ultra_low
5.333 0.017 11 8 kick_tight
5.350 0.033 13 3 roar_ultra_low
5.467 0.017 11 8 kick_tight
5.483 0.033 13 3 roar_ultra_low
5.600 0.017 11 8 kick_tight
5.617 0.033 13 3 roar_ultra_low
5.733 0.017 11 8 kick_tight
5.750 0.033 13 3 roar_ultra_low
5.867 0.017 11 8 kick_tight
5.883 0.033 13 3 roar_ultra_low
6.000 0.017 11 8 kick_tight
6.017 0.033 13 3 roar_ultra_low
6.133 0.100 8 6 tom_low
6.233 0.050 13 1 roar_ultra_low
6.400 0.017 11 8 kick_tight
6.417 0.033 13 3 roar_ultra_low
6.533 0.017 11 8 kick_tight
6.550 0.033 13 3 roar_ultra_low
6.667 0.100 8 6 tom_low
6.767 0.050 13 1 roar_ultra_low
6.933 0.017 11 8 kick_tight
6.950 0.033 13 3 roar_ultra_low
7.067 0.017 11 8 kick_tight
7.083 0.033 13 3 roar_ultra_low
7.200 0.017 11 8 kick_tight
7.217 0.033 13 3 roar_ultra_low
7.333 0.017 11 8 kick_tight
7.350 0.033 13 3 roar_ultra_low
7.467 0.017 11 8 kick_tight
7.483 0.033 13 3 roar_ultra_low
7.600 0.017 11 8 kick_tight
7.617 0.033 13 3 roar_ultra_low
7.733 0.017 11 8 kick_tight
7.750 0.033 13 3 roar_ultra_low
7.867 0.017 11 8 kick_tight
7.883 0.033 13 3 roar_ultra_low
8.000 0.017 11 8 kick_tight
8.017 0.033 13 3 roar_ultra_low
8.133 0.100 8 6 tom_low
8.233 0.033 13 1 roar_ultra_low
8.267 0.100 8 6 tom_low
8.367 0.033 13 1 roar_ultra_low
8.400 0.100 8 6 tom_low
8.500 0.050 13 1 roar_ultra_low
8.667 0.017 11 8 kick_tight
8.683 0.033 13 3 roar_ultra_low
8.800 0.100 8 6 tom_low
8.900 0.050 13 1 roar_ultra_low
9.067 0.017 11 8 kick_tight
9.083 0.033 13 3 roar_ultra_low
9.200 0.017 11 8 kick_tight
9.217 0.033 13 3 roar_ultra_low
9.333 0.017 11 8 kick_tight
9.350 0.033 13 3 roar_ultra_low
9.467 0.017 11 8 kick_tight
9.483 0.033 13 3 roar_ultra_low
9.600 0.017 11 8 kick_tight
9.617 0.033 13 3 roar_ultra_low
9.733 0.017 11 8 kick_tight
9.750 0.033 13 3 roar_ultra_low
9.867 0.017 11 8 kick_tight
9.883 0.033 13 3 roar_ultra_low
10.000 0.017 11 8 kick_tight
10.017 0.033 13 3 roar_ultra_low
10.133 0.017 11 8 kick_tight
10.150 0.033 13 3 roar_ultra_low
10.267 0.017 11 8 kick_tight
10.283 0.033 13 3 roar_ultra_low
10.400 0.100 8 6 tom_low
10.500 0.050 13 1 roar_ultra_low
10.667 0.017 11 8 kick_tight
10.683 0.033 13 3 roar_ultra_low
10.800 0.017 11 8 kick_tight
10.817 0.033 13 3 roar_ultra_low
10.933 0.100 8 6 tom_low
11.033 0.050 13 1 roar_ultra_low
11.200 0.017 11 8 kick_tight
11.217 0.033 13 3 roar_ultra_low
11.333 0.017 11 8 kick_tight
11.350 0.033 13 3 roar_ultra_low
11.467 0.017 11 8 kick_tight
11.483 0.033 13 3 roar_ultra_low
11.600 0.017 11 8 kick_tight
11.617 0.033 13 3 roar_ultra_low
11.733 0.017 11 8 kick_tight
11.750 0.033 13 3 roar_ultra_low
11.867 0.017 11 8 kick_tight
11.883 0.033 13 3 roar_ultra_low
12.000 0.017 11 8 kick_tight
12.017 0.033 13 3 roar_ultra_low
12.133 0.017 11 8 kick_tight
12.150 0.033 13 3 roar_ultra_low
12.267 0.017 11 8 kick_tight
12.283 0.033 13 3 roar_ultra_low
12.400 0.100 8 6 tom_low
12.500 0.033 13 1 roar_ultra_low
12.533 0.100 8 6 tom_low
12.633 0.033 13 1 roar_ultra_low
12.667 0.100 8 6 tom_low
12.767 0.050 13 1 roar_ultra_low
13.067 0.017 11 8 kick_tight
13.083 0.033 13 3 roar_ultra_low
13.333 0.017 11 8 kick_tight
13.350 0.033 13 3 roar_ultra_low
13.467 0.017 11 8 kick_tight
13.483 0.033 13 3 roar_ultra_low
13.600 0.017 11 8 kick_tight
13.617 0.033 13 3 roar_ultra_low
13.733 0.017 11 8 kick_tight
13.750 0.033 13 3 roar_ultra_low
13.867 0.017 11 8 kick_tight
13.883 0.033 13 3 roar_ultra_low
14.000 0.017 11 8 kick_tight
14.017 0.033 13 3 roar_ultra_low
14.133 0.017 11 8 kick_tight
14.150 0.033 13 3 roar_ultra_low
14.400 0.017 11 8 kick_tight
14.417 0.033 13 3 roar_ultra_low
14.533 0.100 8 6 tom_low
14.633 0.033 13 1 roar_ultra_low
14.667 0.100 8 6 tom_low
14.767 0.033 13 1 roar_ultra_low
14.800 0.100 8 6 tom_low
14.900 0.050 13 1 roar_ultra_low
15.200 0.017 11 8 kick_tight
15.217 0.033 13 3 roar_ultra_low
15.467 0.017 11 8 kick_tight
15.483 0.033 13 3 roar_ultra_low
15.600 0.017 11 8 kick_tight
15.617 0.033 13 3 roar_ultra_low
16.267 0.017 11 8 kick_tight
16.283 0.033 13 3 roar_ultra_low
16.533 0.017 11 8 kick_tight
16.550 0.033 13 3 roar_ultra_low
17.067 0.017 11 8 kick_tight
17.083 0.033 13 3 roar_ultra_low
17.333 0.017 11 8 kick_tight
17.350 0.033 13 3 roar_ultra_low
17.600 0.017 11 8 kick_tight
17.617 0.033 13 3 roar_ultra_low
17.733 0.017 11 8 kick_tight
17.750 0.033 13 3 roar_ultra_low
17.867 0.017 11 8 kick_tight
