ducktales2.nsf track=4 framerate=60

Square1(260)
time dur note vol
0.000 1.950 G3 9
1.950 0.150 F3 9
2.100 0.150 G3 9
2.250 1.500 G#3 9
3.750 0.150 B3 9
3.900 0.150 G#3 9
4.050 0.150 G3 9
4.200 0.150 B3 9
4.350 0.150 G#3 9
4.500 0.150 F3 9
4.650 2.000 G3 9
7.350 0.150 C5 9
7.500 0.150 D5 9
7.650 0.150 G4 9
7.800 0.150 C5 9
7.950 0.150 D5 9
8.100 0.150 G4 9
8.250 0.300 C5 9
8.550 0.150 B4 9
8.700 0.150 G#4 9
8.850 0.450 F4 9
9.300 0.300 G4 9
9.600 1.950 G3 9
11.550 0.150 F3 9
11.700 0.150 G3 9
11.850 1.500 G#3 9
13.350 0.150 B3 9
13.500 0.150 G#3 9
13.650 0.150 G3 9
13.800 0.150 B3 9
13.950 0.150 G#3 9
14.100 0.150 F3 9
14.250 2.000 G3 9
16.950 0.150 C5 9
17.100 0.150 D5 9
17.250 0.150 G4 9
17.400 0.150 C5 9
17.550 0.150 D5 9
17.700 0.150 G4 9
17.850 0.300 C5 9
18.150 0.150 B4 9
18.300 0.150 G#4 9
18.450 0.450 F4 9
18.900 0.300 G4 9
19.200 1.950 D4 9
21.150 0.150 C4 9
21.300 0.150 D4 9
21.450 1.500 D#4 9
22.950 0.150 F#4 9
23.100 0.150 D#4 9
23.250 0.150 D4 9
23.400 0.150 F#4 9
23.550 0.150 D#4 9
23.700 0.150 C4 9
23.850 2.000 D4 9
26.550 0.150 C5 9
26.700 0.150 D5 9
26.850 0.150 G4 9
27.000 0.150 C5 9
27.150 0.150 D5 9
27.300 0.150 G4 9
27.450 0.300 C5 9
27.750 0.150 B4 9
27.900 0.150 G#4 9
28.050 BEGIN_CYCLE
28.050 0.450 F4 9
28.500 0.300 G4 9
28.800 1.950 D4 9
30.750 0.150 C4 9
30.900 0.150 D4 9
31.050 1.500 D#4 9
32.550 0.150 F#4 9
32.700 0.150 D#4 9
32.850 0.150 D4 9
33.000 0.150 F#4 9
33.150 0.150 D#4 9
33.300 0.150 C4 9
33.450 2.000 D4 9
36.150 0.150 C5 9
36.300 0.150 D5 9
36.450 0.150 G4 9
36.600 0.150 C5 9
36.750 0.150 D5 9
36.900 0.150 G4 9
37.050 0.300 C5 9
37.350 0.150 B4 9
37.500 0.150 G#4 9
37.650 0.450 F4 9
38.100 0.300 G4 9
38.550 0.150 C4 9
38.700 0.150 D4 9
38.850 0.150 D#4 9
39.150 0.150 C4 9
39.300 0.150 D4 9
39.450 0.150 D#4 9
39.750 0.150 F#4 9
39.900 0.150 D#4 9
40.200 0.150 C4 9
40.500 0.150 D4 9
40.950 0.150 F#4 9
41.100 0.150 D#4 9
41.400 0.150 F#4 9
41.550 0.150 D#4 9
41.850 0.450 F#4 9
42.300 0.150 D#4 9
42.600 0.150 C4 9
42.900 0.150 D4 9
43.350 0.150 C4 9
43.500 0.150 D4 9
43.650 0.150 D#4 9
43.950 0.150 C4 9
44.100 0.150 D4 9
44.250 0.150 D#4 9
44.550 0.150 F#4 9
44.700 0.150 D#4 9
45.000 0.150 C4 9
45.300 0.150 D4 9
45.750 0.150 F#4 9
45.900 0.150 D#4 9
46.200 0.150 F#4 9
46.350 0.150 D#4 9
46.650 0.450 F#4 9
47.100 0.150 D#4 9
47.400 0.150 C4 9
47.700 0.150 D4 9
48.000 0.150 C#5 9
48.150 0.150 D5 9
48.450 0.150 D4 9
48.750 0.150 D4 9
48.900 0.150 C5 9
49.050 0.150 D4 9
49.200 0.150 B4 9
49.350 0.150 G4 9
49.500 0.150 G#4 9
49.650 0.150 F4 9
49.950 0.150 G4 9
50.100 0.150 G#4 9
50.250 0.150 F4 9
50.400 0.150 C#5 9
50.550 0.150 D5 9
50.850 0.150 D4 9
51.150 0.150 D4 9
51.300 0.150 C5 9
51.450 0.150 D4 9
51.600 0.150 B4 9
51.750 0.150 G4 9
51.900 0.150 G#4 9
52.050 0.150 F4 9
52.350 0.150 G4 9
52.500 0.300 G#4 9
52.800 0.150 C#5 9
52.950 0.150 D5 9
53.250 0.150 D4 9
53.550 0.150 D4 9
53.700 0.150 C5 9
53.850 0.150 D4 9
54.000 0.150 B4 9
54.150 0.150 G4 9
54.300 0.150 G#4 9
54.450 0.150 F4 9
54.750 0.150 G4 9
54.900 0.150 G#4 9
55.050 0.150 F4 9
55.200 0.150 C#5 9
55.350 0.150 D5 9
55.650 0.150 D4 9
55.950 0.150 D4 9
56.100 0.150 C5 9
56.250 0.150 D4 9
56.400 0.150 B4 9
56.550 0.150 G4 9
56.700 0.150 G#4 9
56.850 0.150 F4 9
57.150 0.150 G4 9
57.300 0.300 G#4 9
57.600 0.900 G3 9
58.500 1.200 G#3 9
59.700 0.900 G4 9
60.600 1.200 F4 9
61.800 0.900 G3 9
62.700 1.200 G#3 9
63.900 0.900 G4 9
64.800 1.200 F4 9
66.000 0.150 G#3 9
66.150 0.150 G3 9
66.300 0.150 G#3 9
66.450 0.150 B3 9
66.600 0.150 G#3 9
66.750 0.150 G3 9
66.900 0.150 B3 9
67.050 0.150 G#3 9
67.200 0.150 G3 9
67.350 0.150 B3 9
67.500 0.150 G#3 9
67.650 0.150 G3 9
67.800 0.150 B3 9
67.950 0.150 G#3 9
68.100 1.950 G3 9
70.050 0.150 F3 9
70.200 0.150 G3 9
70.350 1.500 G#3 9
71.850 0.150 B3 9
72.000 0.150 G#3 9
72.150 0.150 G3 9
72.300 0.150 B3 9
72.450 0.150 G#3 9
72.600 0.150 F3 9
72.750 2.000 G3 9
75.450 0.150 C5 9
75.600 0.150 D5 9
75.750 0.150 G4 9
75.900 0.150 C5 9
76.050 0.150 D5 9
76.200 0.150 G4 9
76.350 0.300 C5 9
76.650 0.150 B4 9
76.800 0.150 G#4 9
76.950 0.450 F4 9
77.400 0.300 G4 9
77.700 1.950 G3 9
79.650 0.150 F3 9
79.800 0.150 G3 9
79.950 1.500 G#3 9
81.450 0.150 B3 9
81.600 0.150 G#3 9
81.750 0.150 G3 9
81.900 0.150 B3 9
82.050 0.150 G#3 9
82.200 0.150 F3 9
82.350 2.000 G3 9
85.050 0.150 C5 9
85.200 0.150 D5 9
85.350 0.150 G4 9
85.500 0.150 C5 9
85.650 0.150 D5 9
85.800 0.150 G4 9
85.950 0.300 C5 9
86.250 0.150 B4 9
86.400 0.150 G#4 9
86.550 0.450 F4 9
87.000 0.300 G4 9
87.300 1.950 D4 9
89.250 0.150 C4 9
89.400 0.150 D4 9
89.550 1.500 D#4 9
91.050 0.150 F#4 9
91.200 0.150 D#4 9
91.350 0.150 D4 9
91.500 0.150 F#4 9
91.650 0.150 D#4 9
91.800 0.150 C4 9
91.950 2.000 D4 9
94.650 0.150 C5 9
94.800 0.150 D5 9
94.950 0.150 G4 9
95.100 0.150 C5 9
95.250 0.150 D5 9
95.400 0.150 G4 9
95.550 0.300 C5 9
95.850 0.150 B4 9
96.000 0.150 G#4 9
96.150 END_CYCLE

Square2(309)
time dur note vol
0.000 1.783 D4 8
1.950 0.150 C4 8
2.100 0.150 D4 8
2.250 1.500 D#4 8
3.750 0.150 F#4 8
3.900 0.150 D#4 8
4.050 0.150 D4 8
4.200 0.150 F#4 8
4.350 0.150 D#4 8
4.500 0.150 C4 8
4.650 1.783 D4 8
7.350 0.150 C5 6
7.500 0.150 D5 6
7.650 0.150 G4 6
7.800 0.150 C5 6
7.950 0.150 D5 6
8.100 0.150 G4 6
8.250 0.150 C5 6
8.467 0.083 C5 15
8.550 0.150 B4 6
8.700 0.150 G#4 6
8.850 0.150 F4 6
9.067 0.233 F4 15
9.300 0.150 G4 6
9.517 0.083 G4 15
9.600 1.783 D4 8
11.550 0.150 C4 8
11.700 0.150 D4 8
11.850 1.500 D#4 8
13.350 0.150 F#4 8
13.500 0.150 D#4 8
13.650 0.150 D4 8
13.800 0.150 F#4 8
13.950 0.150 D#4 8
14.100 0.150 C4 8
14.250 1.783 D4 8
16.950 0.150 C5 6
17.100 0.150 D5 6
17.250 0.150 G4 6
17.400 0.150 C5 6
17.550 0.150 D5 6
17.700 0.150 G4 6
17.850 0.150 C5 6
18.067 0.083 C5 15
18.150 0.150 B4 6
18.300 0.150 G#4 6
18.450 0.150 F4 6
18.667 0.233 F4 15
18.900 0.150 G4 6
19.117 1.867 G4 15
21.150 0.150 F4 8
21.300 0.150 G4 8
21.450 1.500 G#4 8
22.950 0.150 B4 8
23.100 0.150 G#4 8
23.250 0.150 G4 8
23.400 0.150 B4 8
23.550 0.150 G#4 8
23.700 0.150 F4 8
23.850 1.783 G4 8
26.550 0.150 C5 6
26.700 0.150 D5 6
26.850 0.150 G4 6
27.000 0.150 C5 6
27.150 0.150 D5 6
27.300 0.150 G4 6
27.450 0.150 C5 6
27.667 0.083 C5 15
27.750 0.150 B4 6
27.900 0.150 G#4 6
28.050 BEGIN_CYCLE
28.050 0.150 F4 6
28.267 0.233 F4 15
28.500 0.150 G4 6
28.717 1.867 G4 15
30.750 0.150 F4 8
30.900 0.150 G4 8
31.050 1.500 G#4 8
32.550 0.150 B4 8
32.700 0.150 G#4 8
32.850 0.150 G4 8
33.000 0.150 B4 8
33.150 0.150 G#4 8
33.300 0.150 F4 8
33.450 1.783 G4 8
36.150 0.150 C5 6
36.300 0.150 D5 6
36.450 0.150 G4 6
36.600 0.150 C5 6
36.750 0.150 D5 6
36.900 0.150 G4 6
37.050 0.150 C5 6
37.267 0.083 C5 15
37.350 0.150 B4 6
37.500 0.150 G#4 6
37.650 0.150 F4 6
37.867 0.233 F4 15
38.100 0.150 G4 6
38.317 0.083 G4 15
38.400 0.133 C5 5
38.550 0.133 D#5 5
38.700 0.133 C5 5
38.850 0.133 G4 5
39.000 0.133 C5 5
39.150 0.133 D#5 5
39.300 0.133 C5 5
39.450 0.133 G4 5
39.600 0.133 C5 5
39.750 0.133 D#5 5
39.900 0.133 C5 5
40.050 0.133 G4 5
40.200 0.133 C5 5
40.350 0.133 D#5 5
40.500 0.133 C5 5
40.650 0.133 G4 5
40.800 0.133 C5 5
40.950 0.133 C4 5
41.100 0.133 C5 5
41.250 0.133 G#4 5
41.400 0.133 C4 5
41.550 0.133 D#5 5
41.700 0.133 C5 5
41.850 0.133 C4 5
42.000 0.133 C5 5
42.150 0.133 C4 5
42.300 0.133 C5 5
42.450 0.133 G#4 5
42.600 0.133 C5 5
42.750 0.133 D#5 5
42.900 0.133 C5 5
43.050 0.133 G#4 5
