jackal.nsf track=2 framerate=60
Square1(240)
time dur note vol
0.000 0.200 D#3 6
0.200 1.000 C3 6
1.200 0.300 D#3 7
1.500 0.300 D3 6
1.800 1.400 C3 6
3.200 0.200 D#3 6
3.400 1.000 C3 6
4.400 0.300 D#3 7
4.700 0.300 D3 6
5.000 1.000 C3 6
6.000 0.100 A#3 6
6.100 0.300 B3 6
6.400 1.600 D#4 5
8.000 BEGIN_CYCLE
8.000 1.600 D4 5
9.600 1.600 D#4 5
11.200 1.600 D4 5
12.800 1.600 G#3 5
14.400 0.800 A#3 5
15.200 0.800 F3 5
16.000 0.200 F3 6
16.200 1.000 C3 7
17.200 0.300 F3 5
17.500 0.300 E3 5
17.800 1.000 C3 7
18.800 0.100 A#3 6
18.900 0.300 B3 6
19.200 1.600 D#4 5
20.800 1.600 D4 5
22.400 1.600 D#4 5
24.000 1.600 D4 5
25.600 1.600 G#3 5
27.200 0.800 A#3 5
28.000 0.800 F3 5
28.800 0.200 F3 6
29.000 1.000 C3 7
30.000 0.300 F3 5
30.300 0.300 E3 5
30.600 1.000 C3 7
31.600 0.100 A#3 6
31.700 0.300 B3 6
32.000 0.300 A#3 6
32.300 1.300 A3 6
33.600 1.600 G3 6
35.200 0.300 A#4 6
35.500 1.167 A4 6
36.667 0.133 A#4 8
36.800 0.300 A4 6
37.100 1.300 G4 6
38.400 0.300 A#3 6
38.700 1.300 A3 6
40.000 1.600 G3 6
41.600 0.300 A#4 6
41.900 1.167 A4 6
43.067 0.133 A#4 8
43.200 0.300 A4 6
43.500 0.700 G4 6
44.200 0.083 G3 6
44.283 0.083 G#3 6
44.367 0.067 A3 6
44.433 0.067 A#3 6
44.500 0.050 B3 6
44.550 0.050 C4 6
44.600 0.033 C#4 15
44.633 0.033 D4 15
44.667 0.033 D#4 15
44.700 0.033 E4 15
44.733 0.033 F4 15
44.767 0.033 F#4 15
44.800 0.417 G4 6
45.233 0.367 G4 1
45.600 0.400 F4 6
46.000 0.417 C4 6
46.433 1.183 C4 1
47.633 0.367 C4 1
48.000 0.400 D4 6
48.400 0.417 C4 6
48.833 0.767 C4 1
49.600 0.417 G4 6
50.033 0.367 G4 1
50.400 0.400 F4 6
50.800 0.417 C4 6
51.233 1.183 C4 1
52.433 0.367 C4 1
52.800 0.400 D4 6
53.200 0.417 C4 6
53.633 0.767 C4 1
54.400 0.300 A#3 6
54.700 0.600 A3 6
55.300 0.200 A#4 6
55.500 0.100 C5 6
55.633 0.067 C5 15
55.700 0.100 A#5 6
55.800 0.100 C6 6
55.933 0.067 C6 15
56.000 0.100 F4 6
56.100 0.100 E4 6
56.200 0.100 D#4 6
56.300 0.600 D4 6
56.900 0.100 F5 6
57.000 0.100 E5 6
57.100 0.100 D#5 6
57.233 0.067 D#5 15
57.300 0.100 F6 6
57.400 0.100 E6 6
57.533 0.067 E6 15
57.600 0.300 A#3 6
57.900 0.600 A3 6
58.500 0.200 A#4 6
58.700 0.100 C5 6
58.833 0.067 C5 15
58.900 0.100 A#5 6
59.000 0.100 C6 6
59.133 0.067 C6 15
59.200 0.100 F4 6
59.300 0.100 E4 6
59.400 0.100 D#4 6
59.500 0.600 D4 6
60.100 0.100 F5 6
60.200 0.100 E5 6
60.300 0.100 D#5 6
60.433 0.067 D#5 15
60.500 0.100 F6 6
60.600 0.100 E6 6
60.733 0.067 E6 15
60.800 0.300 C4 3
61.100 0.100 F4 3
61.200 0.100 C5 15
61.300 0.100 G5 15
61.400 0.100 C5 15
61.500 0.100 F5 15
61.600 0.100 C5 15
61.700 0.100 D#5 15
61.800 0.100 F4 15
61.900 0.100 C5 15
62.000 0.300 C4 15
62.300 0.100 F4 15
62.400 0.100 C5 15
62.500 0.100 G5 15
62.600 0.100 C5 15
62.700 0.100 F5 15
62.800 0.100 C5 15
62.900 0.100 D#5 15
63.000 0.100 F4 15
63.100 0.100 C5 15
63.200 0.300 C4 15
63.500 0.100 F4 15
63.600 0.100 C5 15
63.700 0.100 G5 15
63.800 0.100 C5 15
63.900 0.100 F5 15
64.000 0.100 C5 15
64.100 0.100 D#5 15
64.200 0.100 F4 15
64.300 0.100 C5 15
64.400 0.300 C4 15
64.700 0.100 F4 3
64.800 0.100 C5 15
64.900 0.100 G5 15
65.000 0.100 C5 15
65.100 0.100 F5 15
65.200 0.100 C5 15
65.300 0.100 D#5 15
65.400 0.100 F4 15
65.500 0.100 C5 15
65.600 0.300 C4 15
65.900 0.100 F4 15
66.000 0.100 C5 15
66.100 0.100 G5 15
66.200 0.100 C5 15
66.300 0.100 F5 15
66.400 0.100 C5 15
66.500 0.100 D#5 15
66.600 0.100 F4 15
66.700 0.100 C5 15
66.800 0.300 C4 15
67.100 0.100 F4 15
67.200 0.100 C5 15
67.300 0.100 G5 15
67.400 0.100 C5 15
67.500 0.100 F5 15
67.600 0.100 C5 15
67.700 0.100 D#5 15
67.800 0.100 F4 15
67.900 0.100 C5 15
68.000 0.300 C4 15
68.300 0.100 F4 3
68.400 0.100 C5 15
68.500 0.100 G5 15
68.600 0.100 C5 15
68.700 0.100 F5 15
68.800 0.100 C5 15
68.900 0.100 D#5 15
69.000 0.100 F4 15
69.100 0.100 C5 15
69.200 0.300 C4 15
69.500 0.100 F4 15
69.600 0.100 C5 15
69.700 0.100 G5 15
69.800 0.100 C5 15
69.900 0.100 F5 15
70.000 0.100 C5 15
70.100 0.100 D#5 15
70.200 0.100 F4 15
70.300 0.100 C5 15
70.400 0.133 A#4 6
70.533 0.133 A4 6
70.667 0.133 A#4 6
70.800 0.600 C5 6
71.400 0.300 A#4 6
71.700 0.300 A4 6
72.000 0.133 A#4 6
72.133 0.133 A4 6
72.267 0.133 A#4 6
72.400 0.600 G4 6
73.000 0.300 A#3 6
73.300 0.300 C4 6
73.600 0.133 A#4 6
73.733 0.133 A4 6
73.867 0.133 A#4 6
74.000 0.600 C5 6
74.600 0.200 A#4 6
74.800 0.133 D5 6
74.933 0.133 C5 6
75.067 0.267 A#4 6
75.333 0.133 A4 6
75.467 0.133 A#4 6
75.600 0.600 G4 6
76.200 0.300 F4 6
76.500 0.300 C4 6
76.800 1.200 D#4 6
78.000 1.200 F4 6
79.200 1.200 D4 6
80.400 0.300 C4 6
80.700 0.900 G3 6
81.600 1.200 D#4 6
82.800 1.200 F4 6
84.000 1.200 D4 6
85.200 0.800 F4 7
86.000 0.400 E4 6
86.400 1.600 D#4 5
88.000 END_CYCLE
Square2(269)
time dur note vol
0.000 0.200 C4 8
0.200 1.000 C2 10
1.200 0.300 C4 7
1.500 0.300 A#3 7
1.800 1.400 C2 10
3.200 0.200 C4 7
3.400 1.000 C2 10
4.400 0.300 C4 7
4.700 0.300 A#3 7
5.000 1.000 C2 10
6.000 0.100 A#2 10
6.100 0.300 B2 10
6.400 1.600 C5 6
8.000 BEGIN_CYCLE
8.000 1.600 A#4 6
9.600 1.600 G4 6
11.200 1.600 F4 6
12.800 1.600 D#4 6
14.400 0.800 F4 6
15.200 0.400 D4 6
15.600 0.400 D#4 6
16.000 0.200 D4 7
16.200 1.000 C2 10
17.200 0.300 D4 15
17.500 0.300 C4 7
17.800 1.000 C2 10
18.800 0.100 A#2 10
18.900 0.300 B2 10
19.200 1.600 C5 6
20.800 1.600 A#4 6
22.400 1.600 G4 6
24.000 1.600 F4 6
25.600 1.600 D#4 6
