Jackal.nsf track=7 framerate=60
Square1(234)
time dur note vol
0.017 1.033 E4 1
1.067 0.100 E4 1
1.167 0.233 G3 4
1.400 0.350 C4 4
1.750 0.117 G4 4
1.867 1.517 F4 15
3.400 0.333 F4 15
3.750 1.317 G#4 1
5.083 0.467 G#4 1
5.550 0.133 F4 4
5.683 0.117 G4 15
5.817 0.100 G4 1
5.917 1.600 E4 4
7.533 0.100 E4 1
7.650 1.083 E4 15
8.750 0.117 E4 1
8.867 0.233 G3 4
9.100 0.367 C4 4
9.467 0.133 G4 4
9.600 1.583 F4 15
11.200 0.350 F4 15
11.567 1.333 G#4 1
12.917 0.483 G#4 1
13.400 0.117 F4 4
13.517 0.117 G4 15
13.650 0.117 G4 1
13.767 1.583 E4 4
15.367 0.117 E4 1
15.483 1.950 G4 2
17.433 0.250 A#4 6
17.700 0.100 A#4 1
17.800 1.233 F4 6
19.050 0.217 F4 1
19.267 1.117 C5 6
20.383 0.367 A#4 6
20.750 0.367 G#4 6
21.117 0.233 G4 6
21.350 0.500 A#2 12
21.850 0.483 G#2 12
22.333 0.500 G2 12
22.833 0.483 F2 12
23.317 1.967 G4 3
25.283 0.233 A#4 6
25.533 0.117 A#4 1
25.650 1.217 F4 6
26.883 0.100 F4 1
26.983 0.133 D4 6
27.117 0.117 F4 6
27.233 0.367 G#4 6
27.617 0.117 G#4 1
27.733 0.367 F4 6
28.100 0.117 D#4 6
28.217 0.483 D4 6
28.700 0.500 F4 6
29.200 0.733 E4 6
29.933 1.217 E3 7
31.150 1.117 E4 6
32.283 0.100 E4 1
32.383 0.250 G3 4
32.633 0.367 C4 4
33.000 0.117 G4 4
33.117 1.450 F4 15
34.567 0.117 E4 15
34.683 0.133 F4 15
34.817 0.117 G4 15
34.933 0.017 A4 15
34.950 0.133 C5 15
35.083 1.333 G#4 6
36.433 0.483 G#4 1
36.917 0.117 F4 4
37.033 0.133 G4 15
37.183 0.100 G4 1
37.283 1.583 E4 4
38.883 1.217 E4 1
40.117 0.100 E4 1
40.217 0.250 G3 4
40.467 0.367 C4 4
40.833 0.117 G4 4
40.950 1.467 F4 15
42.417 0.117 E4 15
42.533 0.117 F4 15
42.650 0.133 G4 15
42.783 0.017 A4 15
42.800 0.117 C5 15
42.917 1.350 G#4 6
44.283 0.467 G#4 1
44.750 0.133 F4 4
44.883 0.117 G4 15
45.017 0.100 G4 1
45.117 1.600 E4 4
46.733 0.100 E4 1
46.833 1.967 G4 2
48.800 0.233 A#4 6
49.067 0.100 A#4 1
49.167 1.217 F4 6
50.400 0.233 F4 1
50.633 1.100 C5 6
51.733 0.367 A#4 6
52.100 0.367 G#4 6
52.467 0.250 G4 6
52.717 0.483 A#2 12
53.200 0.500 G#2 12
53.700 0.483 G2 12
54.183 0.500 F2 12
54.683 1.950 G4 3
56.633 0.250 A#4 6
56.900 0.100 A#4 1
57.000 1.233 F4 6
58.250 0.100 F4 1
58.350 0.117 D4 6
58.467 0.133 F4 6
58.600 0.367 G#4 6
58.983 0.100 G#4 1
59.083 0.367 F4 6
59.450 0.133 D#4 6
59.583 0.483 D4 6
60.067 0.483 F4 6
60.550 0.733 E4 6
61.283 1.233 E3 7
62.517 1.100 E4 6
63.633 0.100 E4 1
63.733 0.250 G3 4
63.983 0.367 C4 4
64.350 0.133 G4 4
64.483 1.450 F4 15
65.933 0.117 E4 15
66.050 0.117 F4 15
66.167 0.133 G4 15
66.300 0.017 A4 15
66.317 0.117 C5 15
66.433 1.350 G#4 6
67.800 0.467 G#4 1
68.267 0.133 F4 4
68.400 0.117 G4 15
68.533 0.100 G4 1
68.633 1.600 E4 4
70.250 1.217 E4 1
71.483 0.100 E4 1
71.583 0.250 G3 4
71.833 0.367 C4 4
72.200 0.117 G4 4
72.317 1.450 F4 15
73.767 0.117 E4 15
73.883 0.133 F4 15
74.017 0.117 G4 15
74.133 0.017 A4 15
