supermario.nsf track=9 framerate=60

Square1(8)
time dur note vol
0.000 0.150 E4 14
0.450 0.150 C4 14
0.900 0.167 G3 14
1.200 0.167 F4 14
1.800 0.167 F4 14
2.700 0.150 E4 14
2.850 0.150 D4 14
3.000 0.167 E4 14

Square2(12)
time dur note vol
0.000 0.150 C5 14
0.150 0.033 C5 2
0.467 0.133 G4 13
0.600 0.067 G4 3
0.917 0.167 E4 13
1.200 0.167 A4 14
1.400 0.167 B4 14
1.600 0.167 A4 14
1.800 0.167 G#4 14
2.100 0.167 A#4 14
2.400 0.167 G#4 14
2.700 0.167 G4 14

Triangle(6)
time dur note vol
0.000 0.133 G4 15
0.450 0.133 E4 15
0.900 0.133 C4 15
1.200 0.133 F4 15
1.800 0.133 C#4 15
2.700 0.133 C4 15
